UPC,NAME,IDProduct,L1,L2,L3,Brand,Manufacturer,Planogram
3402736948.0,CAFE EL MORRO ESPRS RST ALL MTHD BRICK G,38007,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,CAFE EL MORRO,NO COMPANY LISTED,
3554987349.0,INSTCAFE JAR SPRAY DRIED INST COFF INSTA,38013,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,INSTCAFE,ALLIED INTERNATIONAL CORP,
3554987365.0,INSTCAFE JAR INSTANT COFFEE 7 OUNCE,38014,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,INSTCAFE,ALLIED INTERNATIONAL CORP,
3554987839.0,INSTCAFE JAR EGYPT INSTANT COFFEE 2.82 O,38015,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,INSTCAFE,ALLIED INTERNATIONAL CORP,
3570001909.0,CMMNT SGNTR BLND DARK RST ALLPURP BAG GR,38028,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,COMMUNITY,COMMUNITY COFFEE COMPANY INC.,
3570001910.0,CMMNT HOUSE BLND MED DARK RST ALLPURP GR,38029,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,COMMUNITY,COMMUNITY COFFEE COMPANY INC.,
3570001911.0,CC BREAKFAST BLEND 20OZ BAG,38030,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,Unassigned,Unassigned,
3570002090.0,CMMNT NEW ORLNS BLND GRND COFF 13 OUNCE,38038,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,COMMUNITY NEW ORLEANS BLEND,COMMUNITY COFFEE COMPANY INC.,
3570003050.0,CMMNT DECAF ALLPURP BAG GRND COFF 13 OUN,38040,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,COMMUNITY,COMMUNITY COFFEE COMPANY INC.,
3570004516.0,CMMNT PRVT RSRV WHL BN COFF 12 OUNCE,38060,GROCERY (Corp 6),COFFEE,WHOLE BEAN,COMMUNITY PRIVATE RESERVE,COMMUNITY COFFEE COMPANY INC.,
3570004519.0,CMMNT PRVT RSRV WHL BN COFF 12 OUNCE,38061,GROCERY (Corp 6),COFFEE,WHOLE BEAN,COMMUNITY PRIVATE RESERVE,COMMUNITY COFFEE COMPANY INC.,
3570004521.0,CMMNT PRVT RSRV WHL BN COFF 12 OUNCE,38062,GROCERY (Corp 6),COFFEE,WHOLE BEAN,COMMUNITY PRIVATE RESERVE,COMMUNITY COFFEE COMPANY INC.,
3570006910.0,CMMNT PRVT RSRV HZLNT MED DARK RST FLV W,38092,GROCERY (Corp 6),COFFEE,WHOLE BEAN,COMMUNITY,COMMUNITY COFFEE COMPANY INC.,
3570006923.0,CMMNT WHL BN COFF 32 OUNCE,38093,GROCERY (Corp 6),COFFEE,WHOLE BEAN,COMMUNITY,COMMUNITY COFFEE COMPANY INC.,
3570006924.0,CMMNT WHL BN COFF 32 OUNCE,38094,GROCERY (Corp 6),COFFEE,WHOLE BEAN,COMMUNITY,COMMUNITY COFFEE COMPANY INC.,
3570016264.0,CMMNT SGNTR BLND DARK RST BOX GRND CFF S,38113,GROCERY (Corp 6),COFFEE,COFFEE LIQUID SS,COMMUNITY,COMMUNITY COFFEE COMPANY INC.,
3570016265.0,CMMNT CAFE SPCL MED DARK RST BOX GRND CF,38114,GROCERY (Corp 6),COFFEE,COFFEE LIQUID SS,COMMUNITY,COMMUNITY COFFEE COMPANY INC.,
3570016266.0,CMMNT BRKFST BLND MED RST BOX GRND CFF S,38115,GROCERY (Corp 6),COFFEE,COFFEE LIQUID SS,COMMUNITY,COMMUNITY COFFEE COMPANY INC.,
3570016267.0,CMMNT CLMB CLSSC BLEND GRND CFF SNGL CUP,38116,GROCERY (Corp 6),COFFEE,COFFEE LIQUID SS,COMMUNITY,COMMUNITY COFFEE COMPANY INC.,
3570016268.0,CMMNT KRG HOT CAFE SPCL GRND CFF SNGL CU,38117,GROCERY (Corp 6),COFFEE,COFFEE LIQUID SS,COMMUNITY KEURIG HOT,COMMUNITY COFFEE COMPANY INC.,
3570016270.0,CMMNT KRG HOT FRNCH VAN FLVRD GRND CFF S,38118,GROCERY (Corp 6),COFFEE,COFFEE LIQUID SS,COMMUNITY KEURIG HOT,COMMUNITY COFFEE COMPANY INC.,
3570016271.0,CMMNT KRG HOT TSTD HZLNT FLVRD GRND CFF,38119,GROCERY (Corp 6),COFFEE,COFFEE LIQUID SS,COMMUNITY KEURIG HOT,COMMUNITY COFFEE COMPANY INC.,
3570016273.0,CMMNT KRG HOT GRND CFF SNGL CUP 18 COUNT,38120,GROCERY (Corp 6),COFFEE,COFFEE LIQUID SS,COMMUNITY KEURIG HOT,COMMUNITY COFFEE COMPANY INC.,
3570016295.0,CMMNT KRG HOT NEW ORLNS BLND BOX GRND CF,38125,GROCERY (Corp 6),COFFEE,COFFEE LIQUID SS,COMMUNITY KEURIG HOT,COMMUNITY COFFEE COMPANY INC.,
3570016296.0,CMMNT NEW ORLNS BLND GRND CFF SNGL CUP 8,38126,GROCERY (Corp 6),COFFEE,COFFEE LIQUID SS,COMMUNITY,COMMUNITY COFFEE COMPANY INC.,
3570016304.0,CMMNT PMPKN PRLN BOX FLVRD GRND CFF SNGL,38130,GROCERY (Corp 6),COFFEE,COFFEE LIQUID SS,COMMUNITY,COMMUNITY COFFEE COMPANY INC.,
